Stazione,Inquinante,Temperatura,U.misura,Equazione,a,b,c,d,e,f
AIRQ01,14,,,,-755.83779,2.5836,0.12433,0.79302,0.02534,0
AIRQ02,14,,,,-1254,4.302,0.6945,-0.6759,-0.3203,0
AIRQ03,14,,,,-1843,6.371,0.05944,0.1628,-0.1367,0
AIRQ04,14,,,,-1331,4.682,0.0726,-0.592,-0.2607,0
AIRQ05,14,,,,-1120,3.982,1.15,-0.662,-0.4886,0
AIRQ06,14,,,,-7.689132,0.245937,0.199958,-1.09402,-0.575755,0
AIRQ07,14,,,,-1678,5.814,0.0323,0.1339,-0.1109,0
AIRQ08,14,,,,-1627,6.247,0.04689,-0.8087,-0.3681,0
AIRQ09,14,,,,-1542,5.413,0.05555,-0.384,-0.2638,0
AIRQ10,14,,,,-1521,5.16,0.07303,-0.4747,-0.4751,0
AIRQ12,14,,,,1298,-4.405,0.08085,-1.027,-0.4578,0
AIRQ13,14,,,,-1589,5.614,0.07667,-0.9085,-0.442,0
AIRQ14,14,,,,-2132,7.691,0.1099,-1.225,-0.4385,0
AIRQ15,14,,,,-1816,6.43,0.1556,0.04014,-0.3251,0
AIRQ16,14,,,,-1594,5.655,0.1015,0.01605,-0.3011,0
AIRQ17,14,,,,-1670,5.888,0.1005,0.0277,-0.2703,0
AIRQ18,14,,,,-872.8,3.288,0.06688,-1.049,-0.3212,0
AIRQ19,14,,,,-2132,7.691,0.1099,-1.225,-0.4385,0
AIRQ20,14,,,,-1030,3.858,0.08281,-1.065,-0.2503,0
AIRQ21,14,,,,-1783,6.618,0.02885,-1.357,-0.4187,0
AIRQ22,14,,,,-1941,7.098,0.06134,-1.468,-0.3435,0
AIRQ23,14,,,,-1963,7.437,0.06897,-1.537,-0.446,0
AIRQ01,14,35,,,-755.83779,2.5836,0.12433,0.79302,0.02534,0
AIRQ02,14,35,,,-1254,4.302,0.6945,-0.6759,-0.3203,0
AIRQ03,14,35,,,-1843,6.371,0.05944,0.1628,-0.1367,0
AIRQ04,14,35,,,-1331,4.682,0.0726,-0.592,-0.2607,0
AIRQ05,14,35,,,-1120,3.982,1.15,-0.662,-0.4886,0
AIRQ06,14,35,,,-7.689132,0.245937,0.199958,-1.09402,-0.575755,0
AIRQ07,14,35,,,-1678,5.814,0.0323,0.1339,-0.1109,0
AIRQ08,14,35,,,-1627,6.247,0.04689,-0.8087,-0.3681,0
AIRQ09,14,35,,,-1542,5.413,0.05555,-0.384,-0.2638,0
AIRQ10,14,35,,,-1521,5.16,0.07303,-0.4747,-0.4751,0
AIRQ12,14,35,,,1298,-4.405,0.08085,-1.027,-0.4578,0
AIRQ13,14,35,,,-1589,5.614,0.07667,-0.9085,-0.442,0
AIRQ14,14,35,,,-2132,7.691,0.1099,-1.225,-0.4385,0
AIRQ15,14,35,,,-1816,6.43,0.1556,0.04014,-0.3251,0
AIRQ16,14,35,,,-1594,5.655,0.1015,0.01605,-0.3011,0
AIRQ17,14,35,,,-1670,5.888,0.1005,0.0277,-0.2703,0
AIRQ18,14,35,,,-872.8,3.288,0.06688,-1.049,-0.3212,0
AIRQ19,14,35,,,-2132,7.691,0.1099,-1.225,-0.4385,0
AIRQ20,14,35,,,-1030,3.858,0.08281,-1.065,-0.2503,0
AIRQ21,14,35,,,-1783,6.618,0.02885,-1.357,-0.4187,0
AIRQ22,14,35,,,-1941,7.098,0.06134,-1.468,-0.3435,0
AIRQ23,14,35,,,-1963,7.437,0.06897,-1.537,-0.446,0
AIRQ01,15,,,,1045.719,-0.1012517,22.47272,-1185.372,-0.00001573268,0
AIRQ02,15,,,,-1279.81438001599,-0.133930795158718,30.0333857856003,-210.034641394992,-3.87262438213043E-05,0
AIRQ03,15,,,,735.653643832681,0.152718862473985,-25.2335973686217,202.150124988901,-1.19982849003609E-05,0
AIRQ04,15,,,,16573.68,0.04066215,6.585478,-9015.255,-0.0003525329,0
AIRQ05,15,,,,-357.112407358439,-0.133463861257162,29.3434786022101,-771.813098618507,-5.4232133554204E-05,0
AIRQ06,15,,,,-3259.818952844,-0.0685739521791763,16.225627662479,1540.64519464457,7.19301543950637E-06,0
AIRQ07,15,,,,-1387.72620220411,-0.086120930215901,20.4218003532751,164.909747696384,-3.42084220122556E-05,0
AIRQ08,15,,,,-1188.968,-0.1518174,30.6649,-167.791,-0.00003207966,0
AIRQ09,15,,,,-638.631547920425,-0.028248317840494,7.19219568803786,158.033642024135,-2.44002855001744E-05,0
AIRQ10,15,,,,-1697.0385704615,-0.17425404654171,35.1216351308918,18.5765156030135,-2.19135664695937E-05,0
AIRQ11,15,,,,-1187.1490304762,-0.1518174,20.322863701477,32.5897626592658,-3.36811889294303E-05,0
AIRQ12,15,,,,-351.450868287853,-0.009180043704623,2.95870977581226,125.446313178129,-2.47426420437274E-05,0
AIRQ13,15,,,,44339.45,5.134517,-958.2788,247.2404,-0.0002155814,0
AIRQ01,15,35,,,1045.719,-0.1012517,22.47272,-1185.372,-0.00001573268,0
AIRQ02,15,35,,,-1279.81438001599,-0.133930795158718,30.0333857856003,-210.034641394992,-3.87262438213043E-05,0
AIRQ03,15,35,,,735.653643832681,0.152718862473985,-25.2335973686217,202.150124988901,-1.19982849003609E-05,0
AIRQ04,15,35,,,16573.68,0.04066215,6.585478,-9015.255,-0.0003525329,0
AIRQ05,15,35,,,-357.112407358439,-0.133463861257162,29.3434786022101,-771.813098618507,-5.4232133554204E-05,0
AIRQ06,15,35,,,-3259.818952844,-0.0685739521791763,16.225627662479,1540.64519464457,7.19301543950637E-06,0
AIRQ07,15,35,,,-1387.72620220411,-0.086120930215901,20.4218003532751,164.909747696384,-3.42084220122556E-05,0
AIRQ08,15,35,,,-1188.968,-0.1518174,30.6649,-167.791,-0.00003207966,0
AIRQ09,15,35,,,-638.631547920425,-0.028248317840494,7.19219568803786,158.033642024135,-2.44002855001744E-05,0
AIRQ10,15,35,,,-1697.0385704615,-0.17425404654171,35.1216351308918,18.5765156030135,-2.19135664695937E-05,0
AIRQ11,15,35,,,-1187.1490304762,-0.0802096855894595,20.322863701477,32.5897626592658,-3.36811889294303E-05,0
AIRQ12,15,35,,,-351.450868287853,-0.009180043704623,2.95870977581226,125.446313178129,-2.47426420437274E-05,0
AIRQ13,15,35,,,44339.45,5.134517,-958.2788,247.2404,-0.0002155814,0
AIRQ01,12,,,,129.3,-0.01096,1.966,-90.27,-7.59E-12,0
AIRQ02,12,,,,119.7,0.008953,1.89,-87.42,-8.608E-12,0
AIRQ03,12,,,,134.4,-0.005443,2.511,-96.39,-5.265E-12,0
AIRQ04,12,,,,123.4,-0.005826,1.621,-88.22,-7.901E-12,0
AIRQ05,12,,,,72.86,-0.0412,3.096,-54.67,-1.1E-11,0
AIRQ06,12,,,,114.1,-0.02264,4.131,-86.73,-2.277E-11,0
AIRQ07,12,,,,122,-0.007086,1.539,-86.05,-7.452E-12,0
AIRQ08,12,,,,81.35,-0.0481,3.608,-60.32,-2.08E-11,0
AIRQ09,12,,,,134.7,-0.008058,1.701,-94.61,-9.314E-12,0
AIRQ10,12,,,,90.98,-0.04477,3.685,-71.37,-2.455E-11,0
AIRQ12,12,,,,124.3,-0.0417,3.421,-91.21,-2.26E-11,0
AIRQ13,12,,,,117.5,-0.03932,3.334,-84.2,-2.28E-11,0
AIRQ14,12,,,,91.4,-0.02957,2.92,-67.58,-3.07E-11,0
AIRQ15,12,,,,114.2,-0.007276,1.58,-79.57,-7.38E-12,0
AIRQ16,12,,,,127.4,-0.005869,1.513,-89.75,-7.657E-12,0
AIRQ17,12,,,,75.91,-0.006886,1.528,-52.91,-1E-11,0
AIRQ18,12,,,,12.19,-0.04609,3.582,-12.43,-2.225E-11,0
AIRQ19,12,,,,91.4,-0.02957,2.92,-67.58,-3.07E-11,0
AIRQ20,12,,,,129.8,-0.006719,1.596,-92.68,-9.071E-12,0
AIRQ21,12,,,,132.3,-0.03965,3.389,-97.62,-2.781E-11,0
AIRQ22,12,,,,93.24,-0.02787,2.793,-68.31,-2.5E-11,0
AIRQ23,12,,,,82.44,-0.04266,3.309,-58.53,-2.455E-11,0
AIRQ01,12,35,,,129.3,-0.01096,1.966,-90.27,-7.59E-12,0
AIRQ02,12,35,,,119.7,0.008953,1.89,-87.42,-8.608E-12,0
AIRQ03,12,35,,,134.4,-0.005443,2.511,-96.39,-5.265E-12,0
AIRQ04,12,35,,,123.4,-0.005826,1.621,-88.22,-7.901E-12,0
AIRQ05,12,35,,,72.86,-0.0412,3.096,-54.67,-1.1E-11,0
AIRQ06,12,35,,,114.1,-0.02264,4.131,-86.73,-2.277E-11,0
AIRQ07,12,35,,,122,-0.007086,1.539,-86.05,-7.452E-12,0
AIRQ08,12,35,,,81.35,-0.0481,3.608,-60.32,-2.08E-11,0
AIRQ09,12,35,,,134.7,-0.008058,1.701,-94.61,-9.314E-12,0
AIRQ10,12,35,,,90.98,-0.04477,3.685,-71.37,-2.455E-11,0
AIRQ12,12,35,,,124.3,-0.0417,3.421,-91.21,-2.26E-11,0
AIRQ13,12,35,,,117.5,-0.03932,3.334,-84.2,-2.28E-11,0
AIRQ14,12,35,,,91.4,-0.02957,2.92,-67.58,-3.07E-11,0
AIRQ15,12,35,,,114.2,-0.007276,1.58,-79.57,-7.38E-12,0
AIRQ16,12,35,,,127.4,-0.005869,1.513,-89.75,-7.657E-12,0
AIRQ17,12,35,,,75.91,-0.006886,1.528,-52.91,-1E-11,0
AIRQ18,12,35,,,12.19,-0.04609,3.582,-12.43,-2.225E-11,0
AIRQ19,12,35,,,91.4,-0.02957,2.92,-67.58,-3.07E-11,0
AIRQ20,12,35,,,129.8,-0.006719,1.596,-92.68,-9.071E-12,0
AIRQ21,12,35,,,132.3,-0.03965,3.389,-97.62,-2.781E-11,0
AIRQ22,12,35,,,93.24,-0.02787,2.793,-68.31,-2.5E-11,0
AIRQ23,12,35,,,82.44,-0.04266,3.309,-58.53,-2.455E-11,0
AIRQ01,13,,,,15.1355,2.097536,-0.2710341,-2.065714,0,0
AIRQ02,13,,,,17.7027961528583,0.962075809252938,0.126768088408871,-6.63017443203013,0,0
AIRQ03,13,,,,14.1904979868464,1.98476676172679,-0.0672534303554302,-3.78121656196589,0,0
