km,quota
0,1376.4
1,1374.9
2,1365.2
3,1344.8
4,1322.3
5,1308.5
6,1288.9
7,1256.8
8,1218.4
9,1183.2
10,1142.9
11,1107.6
12,1072.9
13,1036.7
14,1003.2
15,971.3
16,946.4
17,939
18,932.4
19,928.3
20,927.4
21,935.1
22,925.4
23,913.5
24,892.7
25,873.9
26,858.4
27,851.1
28,841.7
29,830.7
30,815.6
31,804
32,790
33,773.4
34,754.7
35,752.1
36,747.6
37,734.7
38,705.3
39,680.4
40,659
41,636.4
42,615.5
43,605.2
44,601
45,579
46,560.5
47,553.9
48,551.2
49,550.1
50,548.7
51,550.8
52,555.5
53,561.5
54,572.1
55,580.5
56,575
57,557.7
58,540.5
59,517.9
60,496
61,485.3
62,465.4
63,453.8
64,452.7
65,444
66,431
67,423.1
68,422.7
69,407.8
70,398.7
71,384.9
72,369.8
73,352
74,343.4
75,332.6
76,331.2
77,326.9
78,312.5
79,304
80,284
81,271.8
82,270
83,267.8
84,262.1
85,253.4
86,247.5
87,247.4
88,247.2
89,245.5
90,239.3
91,238
92,238
93,234.9
94,234.2
95,234.5
96,234.6
97,234.9
98,235.3
99,236.1
100,232.7
101,231.5
102,227.5
103,227.3
104,226.6
105,224.7
106,223.2
107,221.8
108,220.2
109,218.6
110,217.7
111,217.4
112,217.3
113,216.5
114,215.9
115,215.3
116,213.3
117,211.4
118,211.1
119,211.4
120,211.7
121,214.2
122,216.7
123,215.7
124,211.3
125,209
126,209
127,210.1
128,211.3
129,210.5
130,210.9
131,209.6
132,206.6
133,203.3
134,202.2
135,201.7
136,201.6
137,198.2
138,197.6
139,195.7
140,195.8
141,195.6
142,191.6
143,188.5
144,187.5
145,186.6
146,185.8
147,185.4
148,185.6
149,185.3
150,185.4
151,185.9
152,186.9
153,186.8
154,185.6
155,184.9
156,185.1
157,186
158,185.9
159,185.1
160,184.1
161,190.7
162,201.3
163,201.2
164,188.1
165,174.6
166,168.8
167,166.9
168,166
169,165.5
170,164.5
171,161.1
172,158.4
173,157.4
174,157.6
175,156.2
176,154.3
177,152.4
178,150.7
179,148.5
180,146
181,142.6
182,139.9
183,137.3
184,135.9
185,135.4
186,134.9
187,133.8
188,133.5
189,132.6
190,131.7
191,134
192,133
193,130
194,127.4
195,128.1
196,125.6
197,122.3
198,124
199,125.5
200,121.5
201,120.9
202,139.1
203,171.9
204,190.4
205,195.6
206,193
207,190.8
208,181.7
209,173
210,167.7
211,164.6
212,158.1
213,154.2
214,159.6
215,178.1
216,183.4
217,165.8
218,141.3
219,122.7
220,112.9
221,108.5
222,101.6
223,95.2
224,91.6
225,90.5
226,85
227,79.6
228,73
229,67.9
230,63.2
231,60.8
232,54.2
233,49.7
234,46.6
235,43.5
236,41.1
237,39.4
238,38.3
239,36.6
240,35
241,34.8
242,34.3
243,34
244,33.5
245,32.3
246,30.7
247,29.2
248,28.1
249,27.6
250,27.5
251,27.2
252,26.2
253,25.2
254,24.5
255,23.2
256,23.1
257,21.8
258,20.2
259,18.9
260,18.3
261,17.4
262,18.2
263,15.5
264,12.4
265,14.9
266,15.5
267,16.6
268,16.1
269,30
270,28.2
271,18.9
272,14.8
273,14.9
274,13.5
275,14.6
276,15.3
277,13.3
278,12.7
279,13.1
280,13.8
281,14.2
282,14.3
283,13.6
284,13.5
285,17.4
286,19
287,17.9
288,17.3
289,18.1
290,17.5
291,17.2
292,16.7
293,16.6
294,16.7
295,17
296,18.2
297,19.6
298,20.4
299,21.3
300,23
301,24.6
302,26.4
303,28
304,28.4
305,28.8
306,30
307,31.7
308,32.5
309,33.3
310,34.3
311,35
312,38.8
313,42.6
