Station,km
678,0.2
5414,12.2
677,36.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
666,47.7
5416,76.6
5416,76.6
5416,76.6
5416,76.6
5416,76.6
5416,76.6
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
684,81.2
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
679,87.8
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5687,103.7
5936,105.15
5936,105.15
5936,105.15
5936,105.15
5936,105.15
5936,105.15
5954,105.163
5954,105.163
5954,105.163
5954,105.163
5954,105.163
5954,105.163
680,107
680,107
680,107
680,107
680,107
680,107
680,107
680,107
680,107
680,107
680,107
680,107
5953,123.8
5953,123.8
5953,123.8
5953,123.8
5953,123.8
5953,123.8
5937,123.9
5937,123.9
5937,123.9
5937,123.9
5937,123.9
5937,123.9
685,123.9
685,123.9
685,123.9
685,123.9
685,123.9
685,123.9
685,123.9
685,123.9
685,123.9
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
668,123.96
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5807,132.8
5938,138.8
5938,138.8
5938,138.8
5938,138.8
5938,138.8
5938,138.8
5955,138.836
5955,138.836
5955,138.836
5955,138.836
5955,138.836
5955,138.836
5417,140.605
5417,140.605
5417,140.605
5417,140.605
5417,140.605
5417,140.605
5418,144.93
5418,144.93
5418,144.93
5418,144.93
5418,144.93
5418,144.93
5419,151.05
5419,151.05
5419,151.05
5419,151.05
5419,151.05
5419,151.05
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
1886,156.595
5939,156.595
5939,156.595
5939,156.595
5939,156.595
5939,156.595
5939,156.595
5960,156.595
5960,156.595
5960,156.595
5960,156.595
5960,156.595
5960,156.595
889,159.2
889,159.2
889,159.2
889,159.2
889,159.2
889,159.2
890,161.6
890,161.6
890,161.6
890,161.6
890,161.6
890,161.6
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
1887,164.355
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
686,167.9
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
687,177.6
5958,177.62
5958,177.62
5958,177.62
5958,177.62
5958,177.62
5958,177.62
5959,177.62
5959,177.62
5959,177.62
5959,177.62
5959,177.62
5959,177.62
5956,205.165
5956,205.165
5956,205.165
5956,205.165
5956,205.165
5956,205.165
5957,205.165
5957,205.165
5957,205.165
5957,205.165
5957,205.165
5957,205.165
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
683,205.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
5753,216.5
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
1871,227.6
657,228
657,228
657,228
657,228
657,228
657,228
658,228
658,228
658,228
658,228
658,228
658,228
658,228
658,228
658,228
658,228
658,228
658,228
659,228
659,228
659,228
659,228
659,228
659,228
660,228
660,228
660,228
660,228
660,228
660,228
660,228
660,228
660,228
660,228
660,228
660,228
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
1872,228.2
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
663,242.5
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
5776,247.9
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
671,261.4
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
672,271.9
661,283.3
661,283.3
661,283.3
661,283.3
661,283.3
661,283.3
661,283.3
661,283.3
661,283.3
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
681,301.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5845,305.2
5767,313
5767,313
5767,313
5767,313
5767,313
5767,313
5767,313
5767,313
5767,313
5767,313
5767,313
5767,313
673,313
673,313
673,313
673,313
673,313
673,313
673,313
673,313
673,313
673,313
673,313
673,313
