This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
639525.000 5045680.000 1.500
639550.000 5045680.000 1.500
639500.000 5045655.000 1.500
639525.000 5045655.000 1.500
639550.000 5045655.000 1.500
639575.000 5045655.000 1.500
639450.000 5045630.000 1.500
639475.000 5045630.000 1.500
639500.000 5045630.000 1.500
639525.000 5045630.000 1.500
639550.000 5045630.000 1.500
639575.000 5045630.000 1.500
639600.000 5045630.000 1.500
639425.000 5045605.000 1.500
639450.000 5045605.000 1.500
639475.000 5045605.000 1.500
639500.000 5045605.000 1.500
639525.000 5045605.000 1.500
639550.000 5045605.000 1.500
639575.000 5045605.000 1.500
639600.000 5045605.000 1.500
639625.000 5045605.000 1.500
639400.000 5045580.000 1.500
639425.000 5045580.000 1.500
639450.000 5045580.000 1.500
639475.000 5045580.000 1.500
639500.000 5045580.000 1.500
639525.000 5045580.000 1.500
639550.000 5045580.000 1.500
639575.000 5045580.000 1.500
639600.000 5045580.000 1.500
639625.000 5045580.000 1.500
639650.000 5045580.000 1.500
639375.000 5045555.000 1.500
639400.000 5045555.000 1.500
639425.000 5045555.000 1.500
639450.000 5045555.000 1.500
639475.000 5045555.000 1.500
639500.000 5045555.000 1.500
639525.000 5045555.000 1.500
639550.000 5045555.000 1.500
639575.000 5045555.000 1.500
639600.000 5045555.000 1.500
639625.000 5045555.000 1.500
639650.000 5045555.000 1.500
639325.000 5045530.000 1.500
639350.000 5045530.000 1.500
639375.000 5045530.000 1.500
639400.000 5045530.000 1.500
639425.000 5045530.000 1.500
639450.000 5045530.000 1.500
639475.000 5045530.000 1.500
639500.000 5045530.000 1.500
639525.000 5045530.000 1.500
639550.000 5045530.000 1.500
639575.000 5045530.000 1.500
639600.000 5045530.000 1.500
639625.000 5045530.000 1.500
639650.000 5045530.000 1.500
639675.000 5045530.000 1.500
639300.000 5045505.000 1.500
639325.000 5045505.000 1.500
639350.000 5045505.000 1.500
639375.000 5045505.000 1.500
639400.000 5045505.000 1.500
639425.000 5045505.000 1.500
639450.000 5045505.000 1.500
639475.000 5045505.000 1.500
639500.000 5045505.000 1.500
639525.000 5045505.000 1.500
639550.000 5045505.000 1.500
639575.000 5045505.000 1.500
639600.000 5045505.000 1.500
639625.000 5045505.000 1.500
639650.000 5045505.000 1.500
639675.000 5045505.000 1.500
639700.000 5045505.000 1.500
639275.000 5045480.000 1.500
639300.000 5045480.000 1.500
639325.000 5045480.000 1.500
639350.000 5045480.000 1.500
639375.000 5045480.000 1.500
639400.000 5045480.000 1.500
639425.000 5045480.000 1.500
639450.000 5045480.000 1.500
639475.000 5045480.000 1.500
639500.000 5045480.000 1.500
639525.000 5045480.000 1.500
639550.000 5045480.000 1.500
639575.000 5045480.000 1.500
639600.000 5045480.000 1.500
639625.000 5045480.000 1.500
639650.000 5045480.000 1.500
639675.000 5045480.000 1.500
