Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,701457.56,5182281.46,1,701435.67,5182183.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,701435.67,5182183.95,1,701403.3,5182089.37,1,0,0,4,1,0,0,0,0,0,0,0
A22,701403.3,5182089.37,1,701367.29,5181996.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,701367.29,5181996.08,1,701331.21,5181902.82,1,0,0,4,1,0,0,0,0,0,0,0
A22,701331.21,5181902.82,1,701295.14,5181809.55,1,0,0,4,1,0,0,0,0,0,0,0
A22,701295.14,5181809.55,1,701259.07,5181716.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,701259.07,5181716.28,1,701223.0,5181623.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,701223.0,5181623.01,1,701187.04,5181529.71,1,0,0,4,1,0,0,0,0,0,0,0
A22,701187.04,5181529.71,1,701156.65,5181434.45,1,0,0,4,1,0,0,0,0,0,0,0
A22,701156.65,5181434.45,1,701134.77,5181336.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,701134.77,5181336.92,1,701123.02,5181237.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,701123.02,5181237.66,1,701121.62,5181137.72,1,0,0,4,1,0,0,0,0,0,0,0
A22,701121.62,5181137.72,1,701130.38,5181038.15,1,0,0,4,1,0,0,0,0,0,0,0
A22,701130.38,5181038.15,1,701149.5,5180940.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,701149.5,5180940.04,1,701178.58,5180844.42,1,0,0,4,1,0,0,0,0,0,0,0
A22,701178.58,5180844.42,1,701217.14,5180752.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,701217.14,5180752.21,1,701263.02,5180663.38,1,0,0,4,1,0,0,0,0,0,0,0
A22,701263.02,5180663.38,1,701311.76,5180576.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,701311.76,5180576.06,1,701361.05,5180489.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,701361.05,5180489.06,1,701410.35,5180402.05,1,0,0,4,1,0,0,0,0,0,0,0
A22,701410.35,5180402.05,1,701459.64,5180315.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,701459.64,5180315.04,1,701507.38,5180227.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,701507.38,5180227.19,1,701548.21,5180135.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,701548.21,5180135.98,1,701578.5,5180040.74,1,0,0,4,1,0,0,0,0,0,0,0
A22,701578.5,5180040.74,1,701598.06,5179942.73,1,0,0,4,1,0,0,0,0,0,0,0
A22,701598.06,5179942.73,1,701606.53,5179843.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,701606.53,5179843.13,1,701609.92,5179743.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,701609.92,5179743.19,1,701613.32,5179643.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,701613.32,5179643.25,1,701616.72,5179543.31,1,0,0,4,1,0,0,0,0,0,0,0
A22,701616.72,5179543.31,1,701620.1,5179443.37,1,0,0,4,1,0,0,0,0,0,0,0
A22,701620.1,5179443.37,1,701624.89,5179343.49,1,0,0,4,1,0,0,0,0,0,0,0
A22,701624.89,5179343.49,1,701635.53,5179244.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,701635.53,5179244.08,1,701653.15,5179145.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,701653.15,5179145.67,1,701677.43,5179048.69,1,0,0,4,1,0,0,0,0,0,0,0
A22,701677.43,5179048.69,1,701709.02,5178953.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,701709.02,5178953.84,1,701746.98,5178861.37,1,0,0,4,1,0,0,0,0,0,0,0
A22,701746.98,5178861.37,1,701790.29,5178771.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,701790.29,5178771.25,1,701834.61,5178681.61,1,0,0,4,1,0,0,0,0,0,0,0
