Station,km
678,0.2
5414,12.2
677,36.7
666,47.7
676,63.5
5416,76.6
684,81.2
679,87.8
5687,103.7
5954,105.163
5936,105.163
680,107
685,123.9
5953,123.9
5937,123.9
668,123.96
5807,132.8
5955,138.415
5938,138.415
5417,140.605
5418,144.93
5419,151.05
1886,156.595
5960,156.595
5939,156.595
889,159.2
890,161.6
1887,164.355
686,167.9
687,177.6
5959,177.6
5958,177.6
5957,205.165
5956,205.165
683,205.5
5753,216.5
1871,227.6
1872,228.2
663,242.5
5776,247.9
671,261.4
672,271.9
661,283.3
681,301.2
5845,305.2
5767,313
673,313
659,228.5
657,227.5
660,227.5
658,228.3
